Id;OwnerId;IsDeleted;Name;CurrencyIsoCode;CreatedDate;CreatedById;LastModifiedDate;LastModifiedById;SystemModstamp;Construction__c;Product__c;Gestao_de_Consumos__c;Interconnection_Site__c;Interconnection_Voltage_Level__c;Installation_Type__c;Mobi_E_Connection__c;Technical_Observations__c;Number_of_Charging_Stations__c;Number_of_Equipment_Installed_PIEE__c;Designacao_Local_Interligacao__c;Nivel_Tensao__c;TRE_OPC__c;Asset__c;EV_Charge_Connection__c;Source__c;Responsibility_for_TRE__c;Construction_Name__c;Generate_Template__c;Technical_Control_Template__c;MOBI_E_DPC_Connection__c;Quote__c;Electric_Mobility_Type__c;POD_Production__c;ct_id;salesforce_id;origem;numero_postos_carregamento
a2pQv000000bBEHIA2;005b0000000c1ccAAA;False;CT-0231768;EUR;2025-09-24T13:00:45.000+0000;005b0000000c1ccAAA;2025-09-24T13:00:45.000+0000;005b0000000c1ccAAA;2026-06-23T16:52:58.000+0000;;;False;;;B;False;;0.0;0.0;;;;02iQv000009h1jhIAA;False;GA;EDP C;;False;;False;;;;a2pQv000000bBEHIA2;02iQv000009h1jhIAA;GA;0.0
a2pQv000000bBEIIA2;005b0000000c1ccAAA;False;CT-0231769;EUR;2025-09-24T13:00:45.000+0000;005b0000000c1ccAAA;2025-09-24T13:00:45.000+0000;005b0000000c1ccAAA;2026-06-23T16:52:58.000+0000;;;False;;;B;False;;0.0;0.0;;;;02iQv000009h1jiIAA;False;GA;EDP C;;False;;False;;;;a2pQv000000bBEIIA2;02iQv000009h1jiIAA;GA;0.0
a2pQv000000WGUfIAO;0050X000009q9VOQAY;False;CT-0211620;EUR;2025-07-01T14:15:41.000+0000;0050X000009q9VOQAY;2025-09-30T19:06:40.000+0000;005b0000005zonLAAQ;2026-06-23T16:52:58.000+0000;a2KQv000006PoJ7MAK;;False;;;C;False;;2.0;2.0;QE;BT;;02iQv000009h1jkIAA;False;GA;Client;;False;;False;;2;;a2pQv000000WGUfIAO;02iQv000009h1jkIAA;GA;2.0
a2pQv000000XgtJIAS;0050X000009q9VOQAY;False;CT-0217596;EUR;2025-07-23T17:02:26.000+0000;0050X000009q9VOQAY;2025-09-30T19:06:40.000+0000;005b0000005zonLAAQ;2026-06-23T16:52:58.000+0000;a2KQv000006iPC9MAM;;False;;;A;False;;2.0;2.0;;BT;;02iQv000009h1jmIAA;False;GA;EDP C;;False;;False;;2;;a2pQv000000XgtJIAS;02iQv000009h1jmIAA;GA;2.0
a2pQv000000bDUXIA2;005b0000000c1ccAAA;False;CT-0231856;EUR;2025-09-25T06:00:34.000+0000;005b0000000c1ccAAA;2026-03-06T16:09:45.000+0000;005Qv00000QH5XOIA1;2026-06-23T16:52:58.000+0000;;;False;;;C;True;;0.0;0.0;;BT;003Qv00000CC9S1IAL;02iQv000009hdNVIAY;True;GA;EDP C;;False;;False;;;;a2pQv000000bDUXIA2;02iQv000009hdNVIAY;GA;0.0
a2pQv000000bDUYIA2;005b0000000c1ccAAA;False;CT-0231857;EUR;2025-09-25T06:00:34.000+0000;005b0000000c1ccAAA;2026-03-05T09:15:42.000+0000;005Qv00000QH5XOIA1;2026-06-23T16:52:58.000+0000;;;False;;;C;True;;0.0;0.0;;BT;003Qv00000CC9S1IAL;02iQv000009hdNWIAY;True;GA;EDP C;;False;;False;;;;a2pQv000000bDUYIA2;02iQv000009hdNWIAY;GA;0.0
a2pQv000000bDUZIA2;005b0000000c1ccAAA;False;CT-0231858;EUR;2025-09-25T06:00:34.000+0000;005b0000000c1ccAAA;2026-03-06T18:21:09.000+0000;005Qv00000QH5XOIA1;2026-06-23T16:52:58.000+0000;;;False;;;C;True;;0.0;0.0;;BT;003Qv00000CC9S1IAL;02iQv000009hdNXIAY;True;GA;EDP C;;False;;False;;;;a2pQv000000bDUZIA2;02iQv000009hdNXIAY;GA;0.0
a2pQv000000bKcTIAU;005b0000000c1ccAAA;False;CT-0232286;EUR;2025-09-25T13:01:00.000+0000;005b0000000c1ccAAA;2025-09-25T13:01:00.000+0000;005b0000000c1ccAAA;2026-06-23T16:52:58.000+0000;;;False;;;B;False;;0.0;0.0;;;;02iQv000009iQ1eIAE;False;GA;EDP C;;False;;False;;;;a2pQv000000bKcTIAU;02iQv000009iQ1eIAE;GA;0.0
a2pQv000000bKcUIAU;005b0000000c1ccAAA;False;CT-0232287;EUR;2025-09-25T13:01:00.000+0000;005b0000000c1ccAAA;2025-09-25T13:01:00.000+0000;005b0000000c1ccAAA;2026-06-23T16:52:58.000+0000;;;False;;;B;False;;0.0;0.0;;;;02iQv000009iQ1fIAE;False;GA;EDP C;;False;;False;;;;a2pQv000000bKcUIAU;02iQv000009iQ1fIAE;GA;0.0
a2pQv000000bKcVIAU;005b0000000c1ccAAA;False;CT-0232288;EUR;2025-09-25T13:01:00.000+0000;005b0000000c1ccAAA;2025-09-25T13:01:00.000+0000;005b0000000c1ccAAA;2026-06-23T16:52:58.000+0000;;;False;;;C;False;;0.0;0.0;;;;02iQv000009iQ1gIAE;False;GA;;;False;;False;;;;a2pQv000000bKcVIAU;02iQv000009iQ1gIAE;GA;0.0
a2pQv000000bKcWIAU;005b0000000c1ccAAA;False;CT-0232289;EUR;2025-09-25T13:01:00.000+0000;005b0000000c1ccAAA;2025-09-25T13:01:00.000+0000;005b0000000c1ccAAA;2026-06-23T16:52:58.000+0000;;;False;;;C;False;;0.0;0.0;;;;02iQv000009iQ1hIAE;False;GA;;;False;;False;;;;a2pQv000000bKcWIAU;02iQv000009iQ1hIAE;GA;0.0
a2pQv000000bKcXIAU;005b0000000c1ccAAA;False;CT-0232290;EUR;2025-09-25T13:01:00.000+0000;005b0000000c1ccAAA;2025-09-25T13:01:00.000+0000;005b0000000c1ccAAA;2026-06-23T16:52:58.000+0000;;;False;;;C;False;;0.0;0.0;;;;02iQv000009iQ1iIAE;False;GA;;;False;;False;;;;a2pQv000000bKcXIAU;02iQv000009iQ1iIAE;GA;0.0
a2pQv000000bKarIAE;005b0000000c1ccAAA;False;CT-0232285;EUR;2025-09-25T13:00:46.000+0000;005b0000000c1ccAAA;2026-03-06T14:32:28.000+0000;005Qv00000QH5XOIA1;2026-06-23T16:52:58.000+0000;;;False;;;C;True;;0.0;0.0;;BT;003Qv00000CC9S1IAL;02iQv000009iTVlIAM;True;GA;EDP C;;False;;False;;;;a2pQv000000bKarIAE;02iQv000009iTVlIAM;GA;0.0
a2pQv000000bVMbIAM;005b0000000c1ccAAA;False;CT-0232779;EUR;2025-09-26T06:00:39.000+0000;005b0000000c1ccAAA;2026-03-05T10:27:58.000+0000;005Qv00000QH5XOIA1;2026-06-23T16:52:58.000+0000;;;False;;;C;True;;0.0;0.0;;BT;003Qv00000CC9S1IAL;02iQv000009j4yLIAQ;True;GA;EDP C;;False;;False;;;;a2pQv000000bVMbIAM;02iQv000009j4yLIAQ;GA;0.0
a2pQv000000bVODIA2;005b0000000c1ccAAA;False;CT-0232780;EUR;2025-09-26T06:00:46.000+0000;005b0000000c1ccAAA;2025-09-26T06:00:46.000+0000;005b0000000c1ccAAA;2026-06-23T16:52:58.000+0000;;;False;;;B;False;;0.0;0.0;;;;02iQv000009j51ZIAQ;False;GA;EDP C;;False;;False;;;;a2pQv000000bVODIA2;02iQv000009j51ZIAQ;GA;0.0
a2pQv000000bVOEIA2;005b0000000c1ccAAA;False;CT-0232781;EUR;2025-09-26T06:00:46.000+0000;005b0000000c1ccAAA;2025-09-26T06:00:46.000+0000;005b0000000c1ccAAA;2026-06-23T16:52:58.000+0000;;;False;;;C;False;;0.0;0.0;;;;02iQv000009j51aIAA;False;GA;;;False;;False;;;;a2pQv000000bVOEIA2;02iQv000009j51aIAA;GA;0.0
a2pQv000000bVOFIA2;005b0000000c1ccAAA;False;CT-0232782;EUR;2025-09-26T06:00:46.000+0000;005b0000000c1ccAAA;2025-09-26T06:00:46.000+0000;005b0000000c1ccAAA;2026-06-23T16:52:58.000+0000;;;False;;;C;False;;0.0;0.0;;;;02iQv000009j51bIAA;False;GA;;;False;;False;;;;a2pQv000000bVOFIA2;02iQv000009j51bIAA;GA;0.0
a2pQv000000bVOGIA2;005b0000000c1ccAAA;False;CT-0232783;EUR;2025-09-26T06:00:46.000+0000;005b0000000c1ccAAA;2025-09-26T06:00:46.000+0000;005b0000000c1ccAAA;2026-06-23T16:52:58.000+0000;;;False;;;C;False;;0.0;0.0;;;;02iQv000009j51cIAA;False;GA;;;False;;False;;;;a2pQv000000bVOGIA2;02iQv000009j51cIAA;GA;0.0
a2pQv000000H90TIAS;005Qv000009L8aKIAS;False;CT-0150009;EUR;2024-11-22T12:57:55.000+0000;005Qv000009L8aKIAS;2025-09-30T19:06:38.000+0000;005b0000005zonLAAQ;2026-06-23T16:53:08.000+0000;a2KQv000003xdRpMAI;;False;;;B;False;;1.0;0.0;;BT;;02iQv000009jkCoIAI;False;GA;Client;;False;;False;;;;a2pQv000000H90TIAS;02iQv000009jkCoIAI;GA;1.0
a2pQv000000bcxZIAQ;005b0000000c1ccAAA;False;CT-0233102;EUR;2025-09-26T13:00:26.000+0000;005b0000000c1ccAAA;2025-09-26T13:00:26.000+0000;005b0000000c1ccAAA;2026-06-23T16:52:58.000+0000;;;False;;;B;False;;0.0;0.0;;;;02iQv000009jkCpIAI;False;GA;EDP C;;False;;False;;;;a2pQv000000bcxZIAQ;02iQv000009jkCpIAI;GA;0.0
a2pQv000000bczBIAQ;005b0000000c1ccAAA;False;CT-0233103;EUR;2025-09-26T13:00:33.000+0000;005b0000000c1ccAAA;2025-09-26T13:00:33.000+0000;005b0000000c1ccAAA;2026-06-23T16:52:58.000+0000;;;False;;;C;False;;0.0;0.0;;;;02iQv000009jkHdIAI;False;GA;;;False;;False;;;;a2pQv000000bczBIAQ;02iQv000009jkHdIAI;GA;0.0
a2pQv000000bm0rIAA;005b0000000c1ccAAA;False;CT-0233472;EUR;2025-09-29T13:00:24.000+0000;005b0000000c1ccAAA;2025-09-29T13:00:24.000+0000;005b0000000c1ccAAA;2026-06-23T16:52:58.000+0000;;;False;;;B;False;;0.0;0.0;;;;02iQv000009llfsIAA;False;GA;Client;;False;;False;;;;a2pQv000000bm0rIAA;02iQv000009llfsIAA;GA;0.0
a2pQv000000bm2TIAQ;005b0000000c1ccAAA;False;CT-0233473;EUR;2025-09-29T13:00:31.000+0000;005b0000000c1ccAAA;2025-09-29T13:00:31.000+0000;005b0000000c1ccAAA;2026-06-23T16:52:58.000+0000;;;False;;;C;False;;0.0;0.0;;;;02iQv000009lodjIAA;False;GA;N/A;;False;;False;;;;a2pQv000000bm2TIAQ;02iQv000009lodjIAA;GA;0.0
a2pQv000000bm2UIAQ;005b0000000c1ccAAA;False;CT-0233474;EUR;2025-09-29T13:00:31.000+0000;005b0000000c1ccAAA;2025-09-29T13:00:31.000+0000;005b0000000c1ccAAA;2026-06-23T16:52:58.000+0000;;;False;;;C;False;;0.0;0.0;;;;02iQv000009lodkIAA;False;GA;N/A;;False;;False;;;;a2pQv000000bm2UIAQ;02iQv000009lodkIAA;GA;0.0
a2pQv000000bm2VIAQ;005b0000000c1ccAAA;False;CT-0233475;EUR;2025-09-29T13:00:31.000+0000;005b0000000c1ccAAA;2025-09-29T13:00:31.000+0000;005b0000000c1ccAAA;2026-06-23T16:52:58.000+0000;;;False;;;C;False;;0.0;0.0;;;;02iQv000009lodlIAA;False;GA;N/A;;False;;False;;;;a2pQv000000bm2VIAQ;02iQv000009lodlIAA;GA;0.0
a2pQv000000bm2WIAQ;005b0000000c1ccAAA;False;CT-0233476;EUR;2025-09-29T13:00:31.000+0000;005b0000000c1ccAAA;2025-09-29T13:00:31.000+0000;005b0000000c1ccAAA;2026-06-23T16:52:58.000+0000;;;False;;;C;False;;0.0;0.0;;;;02iQv000009lodmIAA;False;GA;N/A;;False;;False;;;;a2pQv000000bm2WIAQ;02iQv000009lodmIAA;GA;0.0
a2pQv000000bm2XIAQ;005b0000000c1ccAAA;False;CT-0233477;EUR;2025-09-29T13:00:31.000+0000;005b0000000c1ccAAA;2025-09-29T13:00:31.000+0000;005b0000000c1ccAAA;2026-06-23T16:52:58.000+0000;;;False;;;C;False;;0.0;0.0;;;;02iQv000009lodnIAA;False;GA;N/A;;False;;False;;;;a2pQv000000bm2XIAQ;02iQv000009lodnIAA;GA;0.0
a2pQv000000bm2YIAQ;005b0000000c1ccAAA;False;CT-0233478;EUR;2025-09-29T13:00:31.000+0000;005b0000000c1ccAAA;2025-09-29T13:00:31.000+0000;005b0000000c1ccAAA;2026-06-23T16:52:58.000+0000;;;False;;;C;False;;0.0;0.0;;;;02iQv000009lodoIAA;False;GA;N/A;;False;;False;;;;a2pQv000000bm2YIAQ;02iQv000009lodoIAA;GA;0.0
a2pQv000000bm2ZIAQ;005b0000000c1ccAAA;False;CT-0233479;EUR;2025-09-29T13:00:31.000+0000;005b0000000c1ccAAA;2025-09-29T13:00:31.000+0000;005b0000000c1ccAAA;2026-06-23T16:52:58.000+0000;;;False;;;C;False;;0.0;0.0;;;;02iQv000009lodpIAA;False;GA;N/A;;False;;False;;;;a2pQv000000bm2ZIAQ;02iQv000009lodpIAA;GA;0.0
a2pQv000000bm2aIAA;005b0000000c1ccAAA;False;CT-0233480;EUR;2025-09-29T13:00:31.000+0000;005b0000000c1ccAAA;2025-09-29T13:00:31.000+0000;005b0000000c1ccAAA;2026-06-23T16:52:58.000+0000;;;False;;;C;False;;0.0;0.0;;;;02iQv000009lodqIAA;False;GA;N/A;;False;;False;;;;a2pQv000000bm2aIAA;02iQv000009lodqIAA;GA;0.0
a2pQv000000blzHIAQ;005b0000000c1ccAAA;False;CT-0233470;EUR;2025-09-29T13:00:16.000+0000;005b0000000c1ccAAA;2025-09-29T13:00:16.000+0000;005b0000000c1ccAAA;2026-06-23T16:52:58.000+0000;;;False;;;B;False;;0.0;0.0;;;;02iQv000009lqPNIAY;False;GA;;;False;;False;;;;a2pQv000000blzHIAQ;02iQv000009lqPNIAY;GA;0.0
a2pQv000000blzIIAQ;005b0000000c1ccAAA;False;CT-0233471;EUR;2025-09-29T13:00:16.000+0000;005b0000000c1ccAAA;2025-09-29T13:00:16.000+0000;005b0000000c1ccAAA;2026-06-23T16:52:58.000+0000;;;False;;;B;False;;0.0;0.0;;;;02iQv000009lqPOIAY;False;GA;;;False;;False;;;;a2pQv000000blzIIAQ;02iQv000009lqPOIAY;GA;0.0
a2pQv000000bvH3IAI;005b0000000c1ccAAA;False;CT-0234309;EUR;2025-09-30T13:00:24.000+0000;005b0000000c1ccAAA;2026-04-21T16:02:47.000+0000;005Qv00000QH5XOIA1;2026-06-23T16:52:58.000+0000;;;False;;;B;True;;0.0;0.0;;MT;003Qv000009NpW5IAK;02iQv000009nCkQIAU;True;GA;;;False;;False;;;;a2pQv000000bvH3IAI;02iQv000009nCkQIAU;GA;0.0
a2pQv000000bvH4IAI;005b0000000c1ccAAA;False;CT-0234310;EUR;2025-09-30T13:00:24.000+0000;005b0000000c1ccAAA;2026-04-21T16:03:39.000+0000;005Qv00000QH5XOIA1;2026-06-23T16:52:58.000+0000;;;False;;;B;True;;0.0;0.0;;MT;003Qv000009NpW5IAK;02iQv000009nCkRIAU;True;GA;EDP C;;False;;False;;;;a2pQv000000bvH4IAI;02iQv000009nCkRIAU;GA;0.0
a2pQv000000bvIfIAI;005b0000000c1ccAAA;False;CT-0234311;EUR;2025-09-30T13:00:41.000+0000;005b0000000c1ccAAA;2025-09-30T13:00:41.000+0000;005b0000000c1ccAAA;2026-06-23T16:52:58.000+0000;;;False;;;B;False;;0.0;0.0;;;;02iQv000009nDOjIAM;False;GA;EDP C;;False;;False;;;;a2pQv000000bvIfIAI;02iQv000009nDOjIAM;GA;0.0
a2pQv000000bvIgIAI;005b0000000c1ccAAA;False;CT-0234312;EUR;2025-09-30T13:00:41.000+0000;005b0000000c1ccAAA;2026-04-30T07:17:34.000+0000;005Qv00000QH5XOIA1;2026-06-23T16:52:58.000+0000;;;False;;;C;False;;0.0;0.0;;BT;;02iQv000009nDOkIAM;False;GA;;;False;;False;;;;a2pQv000000bvIgIAI;02iQv000009nDOkIAM;GA;0.0
a2pQv000000bvIhIAI;005b0000000c1ccAAA;False;CT-0234313;EUR;2025-09-30T13:00:41.000+0000;005b0000000c1ccAAA;2026-04-30T07:18:13.000+0000;005Qv00000QH5XOIA1;2026-06-23T16:52:58.000+0000;;;False;;;C;False;;0.0;0.0;;BT;;02iQv000009nDOlIAM;False;GA;;;False;;False;;;;a2pQv000000bvIhIAI;02iQv000009nDOlIAM;GA;0.0
a2pQv000000bvIiIAI;005b0000000c1ccAAA;False;CT-0234314;EUR;2025-09-30T13:00:41.000+0000;005b0000000c1ccAAA;2026-04-30T07:18:46.000+0000;005Qv00000QH5XOIA1;2026-06-23T16:52:58.000+0000;;;False;;;C;False;;0.0;0.0;;BT;;02iQv000009nDOmIAM;False;GA;;;False;;False;;;;a2pQv000000bvIiIAI;02iQv000009nDOmIAM;GA;0.0
a2pQv000000bvIjIAI;005b0000000c1ccAAA;False;CT-0234315;EUR;2025-09-30T13:00:41.000+0000;005b0000000c1ccAAA;2026-04-30T07:19:38.000+0000;005Qv00000QH5XOIA1;2026-06-23T16:52:58.000+0000;;;False;;;C;False;;0.0;0.0;;BT;;02iQv000009nDOnIAM;False;GA;;;False;;False;;;;a2pQv000000bvIjIAI;02iQv000009nDOnIAM;GA;0.0
a2pQv000000bvIkIAI;005b0000000c1ccAAA;False;CT-0234316;EUR;2025-09-30T13:00:41.000+0000;005b0000000c1ccAAA;2026-04-30T07:33:06.000+0000;005Qv00000QH5XOIA1;2026-06-23T16:52:58.000+0000;;;False;;;C;False;;0.0;0.0;;BT;;02iQv000009nDOoIAM;False;GA;;;False;;False;;;;a2pQv000000bvIkIAI;02iQv000009nDOoIAM;GA;0.0
a2pQv000000bvIlIAI;005b0000000c1ccAAA;False;CT-0234317;EUR;2025-09-30T13:00:41.000+0000;005b0000000c1ccAAA;2026-04-30T07:33:50.000+0000;005Qv00000QH5XOIA1;2026-06-23T16:52:58.000+0000;;;False;;;C;False;;0.0;0.0;;BT;;02iQv000009nDOpIAM;False;GA;;;False;;False;;;;a2pQv000000bvIlIAI;02iQv000009nDOpIAM;GA;0.0
a2pQv000000bxE1IAI;005b0000000c1ccAAA;False;CT-0234755;EUR;2025-10-01T06:00:47.000+0000;005b0000000c1ccAAA;2025-10-01T06:00:47.000+0000;005b0000000c1ccAAA;2026-06-23T16:52:58.000+0000;;;False;;;B;False;;0.0;0.0;;;;02iQv000009o3LhIAI;False;GA;Client;;False;;False;;;;a2pQv000000bxE1IAI;02iQv000009o3LhIAI;GA;0.0
a2pQv000000bxFdIAI;005b0000000c1ccAAA;False;CT-0234756;EUR;2025-10-01T06:00:55.000+0000;005b0000000c1ccAAA;2026-04-30T06:35:08.000+0000;005Qv00000QH5XOIA1;2026-06-23T16:52:58.000+0000;;;False;;;C;False;;0.0;0.0;;BT;;02iQv000009o3NJIAY;False;GA;;;False;;False;;;;a2pQv000000bxFdIAI;02iQv000009o3NJIAY;GA;0.0
a2pQv000000bxFeIAI;005b0000000c1ccAAA;False;CT-0234757;EUR;2025-10-01T06:00:55.000+0000;005b0000000c1ccAAA;2026-04-30T06:35:57.000+0000;005Qv00000QH5XOIA1;2026-06-23T16:52:58.000+0000;;;False;;;C;False;;0.0;0.0;;BT;;02iQv000009o3NKIAY;False;GA;;;False;;False;;;;a2pQv000000bxFeIAI;02iQv000009o3NKIAY;GA;0.0
